0,0,0,0,0,0,0,0,0,16,26,32,23,29,0,0,21,30,36,27,23,0,0,28,28,40,34,24,0,0,26,31,24,32,16,0,0,22,20,21,17,17,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,4,11,36,10,13,0,0,8,20,53,20,8,0,0,11,35,51,40,11,0,0,12,20,12,12,2,0,0,8,5,10,11,11,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,2,7,31,7,2,0,0,5,13,56,13,5,0,0,8,43,57,47,5,0,0,1,14,11,7,1,0,0,5,1,9,6,2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,7,28,4,0,0,0,6,9,55,15,2,0,0,10,49,67,52,2,0,0,1,6,12,4,1,0,0,3,3,1,5,1,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,8,23,2,0,0,0,3,14,62,18,2,0,0,12,47,67,53,3,0,0,1,10,10,7,3,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,4,22,3,0,0,0,2,10,59,21,5,0,0,9,46,68,57,5,0,0,1,10,14,15,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,6,20,2,0,0,0,3,14,61,25,4,0,0,4,41,78,69,6,0,0,2,8,19,14,3,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,9,18,4,0,0,0,4,18,69,16,5,0,0,4,44,95,62,5,0,0,2,8,21,16,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,14,22,4,0,0,0,7,13,72,16,3,0,0,2,34,100,65,3,0,0,1,13,14,18,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,7,26,3,1,0,0,1,19,84,12,4,0,0,4,33,110,56,5,0,0,2,15,19,17,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,5,24,5,0,0,0,2,23,86,12,5,0,0,3,32,112,62,3,0,0,3,12,14,17,4,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,6,22,8,0,0,0,4,10,94,12,2,0,0,3,36,121,68,4,0,0,2,7,7,15,5,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,4,23,11,0,0,0,3,18,100,9,4,0,0,1,31,117,70,3,0,0,3,6,13,20,7,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,1,4,20,16,1,0,0,0,23,91,17,8,0,0,3,28,109,77,3,0,0,3,5,16,18,4,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,6,22,14,2,0,0,1,23,97,27,9,0,0,4,30,109,66,7,0,0,2,8,19,15,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0
