Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
0,47,44,0.626454810374929,0.879151205732846,1,1,15.9471026858638,26.4693312787121
1,46,63,0.727968549782389,0.800412295698879,1.8695652173913,1.61904761904762,21.220203050631,26.7843023323595
2,54,77,0.723462686340342,0.766561554656494,2.40740740740741,2.19480519480519,21.0903976159245,28.952938819497
3,67,78,0.689936131687834,0.782368908235047,2.74626865671642,2.70512820512821,19.4185731913616,35.7151985713176
4,86,88,0.687956237048078,0.766209548972047,3.08139534883721,3.01136363636364,19.2733775934954,39.8185879936366
5,99,105,0.705750265252238,0.769700696175117,3.45454545454545,3.16190476190476,19.9704468744206,42.1483513490766
6,101,109,0.762637493031702,0.785906941162081,4.04950495049505,3.55045871559633,23.0129480132944,49.2979660642277
7,106,126,0.763102386217859,0.764729325107651,4.45283018867925,3.81746031746032,23.1937961826559,51.3386480485033
8,127,143,0.72211777134022,0.763112865331568,4.40157480314961,4,21.1788883062941,52.6178250487906
9,141,163,0.743366839041631,0.760259011919667,4.88652482269504,4.15337423312883,21.8813615309019,52.540738302074
10,140,178,0.788249794608908,0.756696919096356,5.60714285714286,4.39887640449438,24.1059358145117,54.3888139288171
11,153,185,0.770687693628564,0.758388126242395,5.83006535947712,4.61621621621622,23.477761502478,58.4700103851611
12,163,202,0.755911712298277,0.751555126747263,6.02453987730061,4.82673267326733,22.6221669621117,59.0760190389402
13,165,211,0.774907916251123,0.75996991164211,6.44242424242424,5.09004739336493,23.4299910372919,61.2828823699113
14,168,218,0.792720456849365,0.762315103935244,7.07738095238095,5.44954128440367,24.4059303719797,63.6418959755611
15,181,241,0.768853639030516,0.744378749337726,7.07734806629834,5.5643153526971,23.2514577306893,61.8270338518658
16,170,246,0.797714097874419,0.748275937835702,7.92352941176471,5.91463414634146,24.7009257089886,64.0987375194251
17,175,265,0.795188054869791,0.746477546333332,8.36,6.03396226415094,24.8233552615332,62.4819863584833
18,186,273,0.767316614600713,0.753792206626604,8.34408602150538,6.32234432234432,23.3376370661309,63.278390617331
19,183,296,0.777841000099027,0.752007497649414,8.62841530054645,6.40202702702703,23.7273785430843,60.6322226595409
20,181,310,0.783740425715902,0.752525035387078,8.8232044198895,6.66129032258065,24.025901916636,59.4779751288427
21,175,329,0.809901658997384,0.745739258487108,9.74857142857143,6.8419452887538,25.5761578529225,57.3243965499232
22,182,343,0.785081291856135,0.739543762204955,9.8021978021978,6.98833819241982,24.4744169709604,56.2739708527073
23,193,345,0.764740963942667,0.743277952441244,9.73056994818653,7.41449275362319,23.3056556707008,56.7346955665441
24,189,361,0.780291563873431,0.754163492252696,10.1111111111111,7.57063711911357,23.9388712463176,55.0489187225851
25,186,371,0.777123979317034,0.756436743767601,10.1075268817204,7.80592991913747,23.7899485147731,54.1941776952618
26,180,390,0.794449377822533,0.752896141270082,10.5055555555556,8.00512820512821,24.7977450754239,51.8856059723087
27,179,401,0.809405994145576,0.75441710924573,11.0167597765363,8.15461346633417,25.8803712333383,50.7162193211123
28,195,424,0.76721074230945,0.744942095660644,10.4205128205128,8.20990566037736,23.8116286721148,48.5258638154197
29,190,448,0.78312144067556,0.753437455776458,10.9526315789474,8.26785714285714,24.4041117445087,46.2893976859902
30,200,456,0.767033336698691,0.747456915964122,10.73,8.55263157894737,23.5031982096085,45.5620030727425
31,190,474,0.782072493996099,0.745257389293462,11.0526315789474,8.72573839662447,24.2805381567362,44.0125481630399
32,184,472,0.789004025379675,0.75261803416948,11.2228260869565,9.14406779661017,24.9105871626303,44.0458531883023
